Binomial.1.2,Q
Callosciurus_pygerythrus,271.17570977677053
Callosciurus_quinquestriatus,343.0538076539483
Callospermophilus_lateralis,1759.3813359377264
Callospermophilus_madrensis,1943.5274051226581
Callospermophilus_saturatus,1870.0743326440634
Calomys_boliviae,779.3649997825536
Calomys_callidus,817.2212399751928
Calomys_callosus,899.4226311484163
Calomys_expulsus,860.3479748118153
Calomys_fecundus,883.132807170918
Calomys_hummelincki,788.3764876900324
Calomys_laucha,701.2773124354021
Calomys_lepidus,700.165921883942
Calomys_musculinus,623.2588983583546
Calomys_sorellus,675.2899792776446
Calomys_tener,704.1760600067998
Calomys_tocantinsi,792.4794187168986
Calomys_venustus,917.8724420151707
Calomyscus_bailwardi,529.143250112645
Calomyscus_baluchi,555.3625340911601
Calomyscus_elburzensis,587.1509445485161
Calomyscus_grandis,611.9735215022534
Calomyscus_hotsoni,551.2917120852917
Calomyscus_mystax,588.7403760228343
Calomyscus_tsolovi,560.1632848783172
Calomyscus_urartensis,593.2919524667036
Caloprymnus_campestris,522.7567330387129
Caluromys_derbianus,114.3205324210159
Caluromys_lanatus,129.4867978149343
Caluromys_philander,142.52468887203534
Caluromysiops_irrupta,91.67694397797965
Calyptophractus_retusus,38.283165239574885
Camelops_hesternus,651.0395325380397
Camelus_dromedarius,549.328212587429
Camelus_ferus,355.68591408501504
Canariomys_bravoi,2085.011553672247
Canariomys_tamarani,1929.1083022717621
Candiacervus_cretensis,1421.6617482807342
Candiacervus_dorothensis,2044.357427432832
Candiacervus_major,2136.5490751291263
Candiacervus_rethymnensis,1758.4014295453835
Candiacervus_ropalophorus,1198.0476516534773
Candiacervus_spII,1267.289623163053
Canis_adustus,45.464413720026464
Canis_aureus,28.134390984077648
Canis_dirus,36.21799698506247
Canis_latrans,29.676126483053807
Canis_lupus,27.865450547403615
Canis_mesomelas,43.41139473163793
Canis_rufus,28.053294747874226
Canis_simensis,30.489771325080035
Cannomys_badius,2863.636962644854
Cansumys_canus,811.2911009543592
Capra_aegagrus,514.8200718298771
Capra_caucasica,565.6362862519023
Capra_cylindricornis,555.4475481158657
Capra_falconeri,536.4073109832485
Capra_ibex,607.9918290692904
Capra_nubiana,587.899277314481
Capra_pyrenaica,544.9754990980998
Capra_sibirica,645.4769586701948
Capra_walie,660.4176357009973
Capreolus_capreolus,1694.6009158267423
Capreolus_miyakoensis,1951.8813085185143
Capreolus_pygargus,2611.810590901409
Capricornis_crispus,472.52026187655855
Capricornis_milneedwardsii,624.7039458145749
Capricornis_rubidus,578.4607677145622
Capricornis_sumatraensis,581.8089584640138
Capricornis_swinhoei,441.2910300975481
Capricornis_thar,610.1714541613343
CapriniGen_spA,504.51044466831615
