Name_Ecosystem;Name_Ecosystem_new;Continent;Lat;Long;TotalHerbivoreBiomass_kgkm2;20kg_TotalHerbivoreBiomass_kgkm2;Year;Megafauna;Wolf_exploited;Livestock;Migrating_ecosystems;Source;Original_references;Note
Hwange National Park Zimbabwe;Hwange;Africa;-19.07831;26.55631;2665.747084;2664.676066;1973;2057.410591;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Hwange National Park Zimbabwe;Hwange;Africa;-19.07831;26.55631;2888.67033;2881.98826;1996;2472.288581;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Kalahari National Park South Africa;Kalahari;Africa;-25.73231;20.3878;257.8855578;257.8855578;1979;0;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;Excluded. Does not include migrating species.
Kalahari National Park South Africa;Kalahari;Africa;-25.73231;20.3878;730.4938478;730.4938478;NA;0;0;NA;1;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;Not adjusted for the months the migratory species are not in the ecosystem, because it is an average over several years and we don't know the time of year.
Kaputei Plains;Kaputei Plains;Africa;-1.74;36.91;21335;NA;;NA;NA;12200;NA;Rodriguez et al. 2014;Owaga_(1980);Not included in Hatton. (well, yes, but not included in the data we use from Hatton because only the total biomass was given in East 1984 and not per species)
Virungas;Karisoke;Africa;-1.48;29.48;3100;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Plumptre_and_Harris_(1995);Not included in Hatton
Katavi National Park;Katavi;Africa;-6.82;31.04;23000;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Caro_(1999);Not included in Hatton
Katavi National Park;Katavi;Africa;-6.88103;31.22165;7763.332693;7739.801168;2009;4967.602214;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Kibale National Park;Kibale;Africa;0.47;30.4;2600;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Wanyama_et_al._(2010);Not included in Hatton
Kidepo Valley National Park Uganda;Kidepo;Africa;3.8782;33.78401;2191.274619;2187.812067;2009;765.9500693;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Kruger_National_Park,_Northern_section;Kruger;Africa;-23.31;31.27;984;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Coe_et_al._(1976);Not included in Hatton. (well, yes, but not included in the data we use from Hatton because only the total biomass was given in East 1984 and not per species)
Kruger_National_Park,_Southern_section;Kruger;Africa;-24.2936198;31.6881929;3783;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Coe_et_al._(1976);Not included in Hatton. (well, yes, but not included in the data we use from Hatton because only the total biomass was given in East 1984 and not per species)
Kruger National Park South Africa;Kruger;Africa;-23.98913;31.58213;1876.192796;1872.095687;1964;678.5718047;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Kruger National Park South Africa;Kruger;Africa;-23.98913;31.58213;2948.271894;2944.423087;1975;1519.27695;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Kruger National Park South Africa;Kruger;Africa;-23.98913;31.58213;3342.759229;3338.910422;1984;1723.995471;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Kruger National Park South Africa;Kruger;Africa;-23.98913;31.58213;2954.267997;2950.41919;1997;1748.567592;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Kruger National Park South Africa;Kruger;Africa;-23.98913;31.58213;3890.867186;3887.018379;2009;2534.704302;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Nwaswitshaka River, Kruger NP, South Africa;Kruger;Africa;-25.139977;31.62167;3912.975309;3870.364198;1975;403.0864198;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;GPS-position moved further South
Sabie River Kruger NP South Africa;Kruger;Africa;-24.968251;31.506707;9075.247059;8859.429412;1975;2144.411765;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;GPS-position moved north-west.
Kuiseb River area Namib Desert;Kuiseb;Africa;-23.6;15.2;131;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Tilson_and_Henschel_(1980);Not included in Hatton.
Manyara National Park;Lake Manyara;Africa;-3.47;35.78;15288;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Prins_and_Douglas-Hamilton_(1990);Not included in Hatton
Lake Manyara National Park Tanzania;Lake Manyara;Africa;-3.5360207;35.7396221;27624.15476;27552.72619;1970;17453.57143;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Lake Manyara National Park Tanzania;Lake Manyara;Africa;-3.5360207;35.7403088;11948.36364;11880.18182;1992;5965;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Lake Mburu National Park;Lake Mburu;Africa;-0.6;30.95;18402;NA;;NA;NA;9738;NA;Rodriguez et al. 2014;Rannestad_et_al._(2006);Not included in Hatton.
Lake_Rudolf_(East);Lake Turkana;Africa;3.33;36.59;405;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Coe_et_al._(1976);Excluded. Because the area is only 200 m wide. Not included in Hatton
Lloldaiga Hills;Lloldaiga;Africa;0.15;37.12;8020;NA;;NA;NA;6512;NA;Rodriguez et al. 2014;Mizutani_(1999);Not included in Hatton
Petit Loango;Loango;Africa;-2.0897308;9.6298257;3288;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Morgan_(2007);Not included in Hatton. Biomass adjusted to include primate biomass from the original reference.
Rabi Koumaga;Loango;Africa;-2;9.78;1050;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Prins_and_Reitsman_(1989);Not included in Hatton. Biomass adjusted to include primate biomass from the original reference.
Lochinvar_ranch;Lochinvar Ranch;Africa;-15.9169824;27.2498692;7568;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Coe_et_al._(1976);Not included in Hatton
